% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    3090.000    42.556095856    23.394735247     1119.3852    2.1287    7  2.5363  2.1923
2015      19    3120.000    42.556095851    23.394735287     1119.3929    2.1257    7  2.5331  2.1901
2015      19    3150.000    42.556095846    23.394735310     1119.3951    2.1251    6  3.2707  2.7596
2015      19    3180.000    42.556095836    23.394735341     1119.3991    2.1244    7  2.5265  2.1855
2015      19    3210.000    42.556095830    23.394735363     1119.4032    2.1231    7  2.5230  2.1831
2015      19    3240.000    42.556095811    23.394735418     1119.4118    2.1208    6  3.0265  2.5629
2015      19    3270.000    42.556095814    23.394735414     1119.4151    2.1188    6  3.0270  2.5634
2015      19    3300.000    42.556095810    23.394735441     1119.4185    2.1172    6  3.0275  2.5640
2015      19    3330.000    42.556095803    23.394735464     1119.4228    2.1153    6  3.0280  2.5645
2015      19    3360.000    42.556095798    23.394735494     1119.4286    2.1137    6  3.0285  2.5650
2015      19    3390.000    42.556095801    23.394735502     1119.4278    2.1141    6  3.0289  2.5655
2015      19    3420.000    42.556095799    23.394735510     1119.4279    2.1141    5  4.6438  3.7760
2015      19    3450.000    42.556095799    23.394735518     1119.4284    2.1141    6  3.0296  2.5663
2015      19    3480.000    42.556095794    23.394735547     1119.4286    2.1136    6  3.0299  2.5667
2015      19    3510.000    42.556095792    23.394735564     1119.4286    2.1135    6  3.0302  2.5671
2015      19    3540.000    42.556095772    23.394735625     1119.4340    2.1127    6  3.0304  2.5674
2015      19    3570.000    42.556095755    23.394735679     1119.4383    2.1118    6  3.0307  2.5678
2015      19    3600.000    42.556095751    23.394735703     1119.4398    2.1106    6  3.0309  2.5681
2015      19    3630.000    42.556095748    23.394735716     1119.4421    2.1098    6  3.0310  2.5684
2015      19    3660.000    42.556095742    23.394735740     1119.4471    2.1088    6  3.0312  2.5686
2015      19    3690.000    42.556095730    23.394735778     1119.4529    2.1075    6  3.0313  2.5689
2015      19    3720.000    42.556095730    23.394735778     1119.4528    2.1073    6  3.0314  2.5691
2015      19    3750.000    42.556095732    23.394735779     1119.4537    2.1062    6  3.0314  2.5693
2015      19    3780.000    42.556095728    23.394735797     1119.4555    2.1057    5  4.6984  3.8181
2015      19    3810.000    42.556095724    23.394735814     1119.4568    2.1053    5  4.7025  3.8214
2015      19    3840.000    42.556095725    23.394735821     1119.4567    2.1044    5  4.7065  3.8246
2015      19    3870.000    42.556095739    23.394735791     1119.4552    2.1037    6  3.0314  2.5700
2015      19    3900.000    42.556095734    23.394735801     1119.4569    2.1034    6  3.0314  2.5701
2015      19    3930.000    42.556095736    23.394735813     1119.4581    2.1028    6  3.0313  2.5703
2015      19    3960.000    42.556095742    23.394735807     1119.4569    2.1026    6  3.0313  2.5704
2015      19    3990.000    42.556095755    23.394735782     1119.4553    2.1031    6  3.0312  2.5705
2015      19    4020.000    42.556095780    23.394735734     1119.4496    2.1044    6  3.0311  2.5706
2015      19    4050.000    42.556095805    23.394735679     1119.4440    2.1056    6  3.0310  2.5707
2015      19    4080.000    42.556095829    23.394735619     1119.4393    2.1070    5  4.7344  3.8479
2015      19    4110.000    42.556095835    23.394735608     1119.4379    2.1082    5  4.7373  3.8504
2015      19    4140.000    42.556095842    23.394735605     1119.4372    2.1094    5  4.7401  3.8529
2015      19    4170.000    42.556095839    23.394735617     1119.4394    2.1099    5  4.7427  3.8552
2015      19    4200.000    42.556095834    23.394735624     1119.4419    2.1099    5  4.7452  3.8575
