% Program : PPPBox
% Positioning Mode : kinematic
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2014     313   18831.000    30.339918712   114.413810662       28.5140    2.4585   10  1.9940  1.7641
2014     313   18832.000    30.339941641   114.413804353       28.5617    2.4546   10  1.9940  1.7640
2014     313   18833.000    30.339958777   114.413794331       28.5607    2.4532   10  1.9939  1.7640
2014     313   18834.000    30.339971205   114.413781854       28.5697    2.4533   10  1.9939  1.7639
2014     313   18835.000    30.339979148   114.413767947       28.5984    2.4549   10  1.9938  1.7639
2014     313   18836.000    30.339983611   114.413748881       28.6322    2.4594   10  1.9937  1.7638
2014     313   18837.000    30.339980396   114.413724793       28.6658    2.4640   10  1.9937  1.7638
2014     313   18838.000    30.339965921   114.413702284       28.6950    2.4672   10  1.9936  1.7637
2014     313   18839.000    30.339940117   114.413690221       28.7038    2.4712   10  1.9935  1.7637
2014     313   18840.000    30.339908008   114.413693529       28.6637    2.4722   10  1.9935  1.7636
2014     313   18841.000    30.339872703   114.413706050       28.6245    2.4743   10  1.9934  1.7636
2014     313   18842.000    30.339831380   114.413723152       28.5828    2.4784   10  1.9933  1.7635
2014     313   18843.000    30.339782959   114.413742012       28.5426    2.4837   10  1.9933  1.7635
2014     313   18844.000    30.339728188   114.413761354       28.4929    2.4887   10  1.9932  1.7634
2014     313   18845.000    30.339668052   114.413781672       28.4792    2.4936   10  1.9931  1.7634
2014     313   18846.000    30.339603205   114.413803583       28.4592    2.4984   10  1.9931  1.7633
2014     313   18847.000    30.339534046   114.413827390       28.4167    2.5040   10  1.9930  1.7633
2014     313   18848.000    30.339461646   114.413852919       28.3778    2.5101   10  1.9929  1.7632
2014     313   18849.000    30.339387346   114.413878865       28.3423    2.5159   10  1.9929  1.7632
2014     313   18850.000    30.339311739   114.413904816       28.3058    2.5208   10  1.9928  1.7631
2014     313   18851.000    30.339234820   114.413931138       28.2676    2.5270   10  1.9927  1.7631
2014     313   18852.000    30.339156823   114.413958160       28.1903    2.5326   10  1.9927  1.7630
2014     313   18853.000    30.339076993   114.413985705       28.1367    2.5368   10  1.9926  1.7630
2014     313   18854.000    30.338995208   114.414013375       28.0553    2.5419   10  1.9925  1.7629
2014     313   18855.000    30.338911279   114.414041030       27.9977    2.5458   10  1.9925  1.7629
2014     313   18856.000    30.338824954   114.414069065       27.9549    2.5501   10  1.9924  1.7628
2014     313   18857.000    30.338736734   114.414098227       27.9053    2.5535   10  1.9923  1.7628
2014     313   18858.000    30.338646943   114.414128369       27.8284    2.5567   10  1.9923  1.7627
2014     313   18859.000    30.338557026   114.414158619       27.7708    2.5596   10  1.9922  1.7627
2014     313   18860.000    30.338466957   114.414189160       27.7113    2.5624   10  1.9921  1.7626
2014     313   18861.000    30.338376928   114.414219989       27.6485    2.5653   10  1.9921  1.7626
2014     313   18862.000    30.338286622   114.414251220       27.5587    2.5679   10  1.9920  1.7625
2014     313   18863.000    30.338196129   114.414282856       27.4591    2.5704   10  1.9919  1.7625
2014     313   18864.000    30.338105969   114.414313537       27.3626    2.5726   10  1.9919  1.7624
2014     313   18865.000    30.338016723   114.414343496       27.3253    2.5745   10  1.9918  1.7624
2014     313   18866.000    30.337928557   114.414372416       27.2276    2.5765   10  1.9917  1.7623
2014     313   18867.000    30.337841338   114.414400925       27.1658    2.5775   10  1.9916  1.7623
2014     313   18868.000    30.337755073   114.414429242       27.0963    2.5784   10  1.9916  1.7622
2014     313   18869.000    30.337669514   114.414457246       27.0241    2.5800   10  1.9915  1.7622
2014     313   18870.000    30.337584772   114.414484800       26.9220    2.5804   10  1.9914  1.7621
2014     313   18871.000    30.337500729   114.414512213       26.8599    2.5812   10  1.9914  1.7620
2014     313   18872.000    30.337417548   114.414539409       26.7712    2.5820   10  1.9913  1.7620
2014     313   18873.000    30.337335049   114.414566773       26.6875    2.5830   10  1.9912  1.7619
2014     313   18874.000    30.337252837   114.414594435       26.6091    2.5834   10  1.9912  1.7619
2014     313   18875.000    30.337170737   114.414622272       26.5380    2.5837   10  1.9911  1.7618
2014     313   18876.000    30.337088851   114.414650126       26.4332    2.5846   10  1.9910  1.7618
2014     313   18877.000    30.337007263   114.414677899       26.3593    2.5854   10  1.9910  1.7617
2014     313   18878.000    30.336925879   114.414705866       26.2778    2.5869   10  1.9909  1.7617
2014     313   18879.000    30.336844796   114.414734115       26.1913    2.5878   10  1.9908  1.7616
2014     313   18880.000    30.336763844   114.414762107       26.1049    2.5892    9  2.6233  2.2748
2014     313   18881.000    30.336683137   114.414789691       26.0268    2.5903    9  2.6231  2.2746
2014     313   18882.000    30.336602675   114.414816959       25.9466    2.5920    9  2.6228  2.2744
2014     313   18883.000    30.336522683   114.414843884       25.8420    2.5930   10  1.9905  1.7614
2014     313   18884.000    30.336442927   114.414870861       25.7392    2.5943   10  1.9905  1.7613
2014     313   18885.000    30.336362590   114.414898126       25.6174    2.5951   10  1.9904  1.7613
2014     313   18886.000    30.336281589   114.414925351       25.5255    2.5967   10  1.9903  1.7612
