% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    3120.000    57.395300360    11.925520097       45.5584    2.3692   10  2.0088  1.8268
2015      19    3150.000    57.395300354    11.925520102       45.5606    2.3698   10  2.0214  1.8382
2015      19    3180.000    57.395300348    11.925520095       45.5630    2.3702   10  2.0342  1.8497
2015      19    3210.000    57.395300342    11.925520100       45.5639    2.3701   10  2.0469  1.8612
2015      19    3240.000    57.395300333    11.925520100       45.5662    2.3701    9  2.1819  2.0033
2015      19    3270.000    57.395300327    11.925520110       45.5674    2.3696    9  2.1929  2.0130
2015      19    3300.000    57.395300323    11.925520109       45.5688    2.3695    9  2.2039  2.0226
2015      19    3330.000    57.395300318    11.925520116       45.5708    2.3696    9  2.2147  2.0322
2015      19    3360.000    57.395300314    11.925520130       45.5714    2.3696    9  2.2255  2.0417
2015      19    3390.000    57.395300309    11.925520159       45.5715    2.3697    9  2.2362  2.0511
2015      19    3420.000    57.395300303    11.925520165       45.5729    2.3703    9  2.2468  2.0604
2015      19    3450.000    57.395300299    11.925520164       45.5729    2.3705    9  2.2572  2.0697
2015      19    3480.000    57.395300296    11.925520156       45.5738    2.3705    9  2.2676  2.0788
2015      19    3510.000    57.395300290    11.925520152       45.5736    2.3714    9  2.2778  2.0878
2015      19    3540.000    57.395300285    11.925520153       45.5735    2.3714    9  2.2879  2.0966
2015      19    3570.000    57.395300278    11.925520162       45.5743    2.3719    9  2.2978  2.1053
2015      19    3600.000    57.395300275    11.925520162       45.5740    2.3721    9  2.3075  2.1139
2015      19    3630.000    57.395300268    11.925520180       45.5751    2.3721    9  2.3171  2.1223
2015      19    3660.000    57.395300263    11.925520185       45.5762    2.3720    9  2.3264  2.1305
2015      19    3690.000    57.395300258    11.925520198       45.5769    2.3718    9  2.3356  2.1385
2015      19    3720.000    57.395300254    11.925520208       45.5779    2.3716    9  2.3445  2.1464
2015      19    3750.000    57.395300248    11.925520216       45.5783    2.3718    9  2.3532  2.1540
