% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19    3060.000   5093002.159   3672002.510   1047508.385     2.344    9   1.917   1.720
2015      19    3090.000   5093002.171   3672002.500   1047508.362     2.344    9   1.926   1.728
2015      19    3120.000   5093002.175   3672002.498   1047508.350     2.344    9   1.936   1.736
2015      19    3150.000   5093002.197   3672002.476   1047508.316     2.344    9   1.945   1.745
2015      19    3180.000   5093002.213   3672002.461   1047508.293     2.344    9   1.955   1.753
2015      19    3210.000   5093002.217   3672002.456   1047508.289     2.344    9   1.964   1.761
2015      19    3240.000   5093002.206   3672002.467   1047508.305     2.344    8   2.039   1.840
2015      19    3270.000   5093002.198   3672002.474   1047508.317     2.344    8   2.047   1.847
2015      19    3300.000   5093002.212   3672002.462   1047508.294     2.344    8   2.055   1.854
2015      19    3330.000   5093002.216   3672002.459   1047508.287     2.344    8   2.062   1.861
2015      19    3360.000   5093002.224   3672002.450   1047508.280     2.344    8   2.070   1.867
2015      19    3390.000   5093002.240   3672002.433   1047508.263     2.344    8   2.078   1.874
2015      19    3420.000   5093002.254   3672002.419   1047508.242     2.343    8   2.086   1.881
2015      19    3450.000   5093002.270   3672002.403   1047508.223     2.343    8   2.094   1.887
2015      19    3480.000   5093002.253   3672002.419   1047508.250     2.344    8   2.102   1.894
2015      19    3510.000   5093002.260   3672002.410   1047508.245     2.344    8   2.110   1.900
2015      19    3540.000   5093002.257   3672002.412   1047508.252     2.343    8   2.117   1.907
2015      19    3570.000   5093002.249   3672002.419   1047508.264     2.343    8   2.125   1.913
2015      19    3600.000   5093002.257   3672002.411   1047508.254     2.343    8   2.132   1.920
2015      19    3630.000   5093002.267   3672002.399   1047508.249     2.343    8   2.140   1.926
2015      19    3660.000   5093002.254   3672002.410   1047508.273     2.343    8   2.147   1.933
2015      19    3690.000   5093002.249   3672002.415   1047508.283     2.343    7   2.270   2.044
2015      19    3720.000   5093002.249   3672002.413   1047508.284     2.343    7   2.279   2.052
2015      19    3750.000   5093002.247   3672002.416   1047508.286     2.343    7   2.287   2.059
2015      19    3780.000   5093002.254   3672002.411   1047508.272     2.343    7   2.295   2.066
2015      19    3810.000   5093002.250   3672002.416   1047508.273     2.343    7   2.304   2.072
2015      19    3840.000   5093002.255   3672002.411   1047508.263     2.343    7   2.312   2.079
2015      19    3870.000   5093002.255   3672002.412   1047508.262     2.343    7   2.320   2.086
2015      19    3900.000   5093002.264   3672002.404   1047508.243     2.343    7   2.328   2.093
2015      19    3930.000   5093002.262   3672002.408   1047508.245     2.343    7   2.336   2.099
2015      19    3960.000   5093002.262   3672002.408   1047508.242     2.343    7   2.344   2.106
2015      19    3990.000   5093002.268   3672002.401   1047508.234     2.343    7   2.351   2.112
2015      19    4020.000   5093002.282   3672002.386   1047508.220     2.342    7   2.359   2.118
2015      19    4050.000   5093002.279   3672002.388   1047508.229     2.342    7   2.366   2.124
2015      19    4080.000   5093002.287   3672002.380   1047508.216     2.342    7   2.373   2.130
2015      19    4110.000   5093002.280   3672002.387   1047508.229     2.342    7   2.380   2.136
2015      19    4140.000   5093002.270   3672002.396   1047508.244     2.342    7   2.387   2.142
2015      19    4170.000   5093002.266   3672002.398   1047508.253     2.342    7   2.394   2.148
2015      19    4200.000   5093002.261   3672002.405   1047508.257     2.342    7   2.401   2.153
2015      19    4230.000   5093002.254   3672002.411   1047508.271     2.343    7   2.407   2.159
2015      19    4260.000   5093002.250   3672002.413   1047508.283     2.342    7   2.413   2.164
2015      19    4290.000   5093002.238   3672002.424   1047508.304     2.343    7   2.419   2.169
2015      19    4320.000   5093002.243   3672002.418   1047508.296     2.343    7   2.425   2.174
2015      19    4350.000   5093002.238   3672002.423   1047508.307     2.343    7   2.431   2.178
2015      19    4380.000   5093002.222   3672002.437   1047508.332     2.343    7   2.436   2.183
2015      19    4410.000   5093002.219   3672002.439   1047508.339     2.343    7   2.441   2.187
2015      19    4440.000   5093002.203   3672002.455   1047508.364     2.343    7   2.446   2.191
2015      19    4470.000   5093002.181   3672002.475   1047508.397     2.342    7   2.451   2.195
2015      19    4500.000   5093002.164   3672002.494   1047508.417     2.342    7   2.455   2.199
2015      19    4530.000   5093002.157   3672002.500   1047508.431     2.342    7   2.460   2.202
2015      19    4560.000   5093002.146   3672002.510   1047508.447     2.342    7   2.464   2.206
2015      19    4590.000   5093002.144   3672002.511   1047508.451     2.342    7   2.467   2.209
2015      19    4620.000   5093002.133   3672002.523   1047508.465     2.342    7   2.471   2.211
2015      19    4650.000   5093002.130   3672002.525   1047508.471     2.342    7   2.474   2.214
2015      19    4680.000   5093002.128   3672002.527   1047508.475     2.342    7   2.477   2.216
2015      19    4710.000   5093002.120   3672002.536   1047508.486     2.342    7   2.479   2.218
2015      19    4740.000   5093002.117   3672002.539   1047508.489     2.342    7   2.481   2.220
2015      19    4770.000   5093002.105   3672002.551   1047508.505     2.342    7   2.483   2.222
2015      19    4800.000   5093002.098   3672002.558   1047508.514     2.342    7   2.485   2.223
2015      19    4830.000   5093002.098   3672002.557   1047508.515     2.342    7   2.486   2.224
2015      19    4860.000   5093002.090   3672002.565   1047508.528     2.342    7   2.487   2.225
2015      19    4890.000   5093002.070   3672002.585   1047508.557     2.342    7   2.488   2.226
2015      19    4920.000   5093002.057   3672002.597   1047508.576     2.342    7   2.489   2.226
2015      19    4950.000   5093002.057   3672002.596   1047508.579     2.343    7   2.489   2.226
2015      19    4980.000   5093002.053   3672002.600   1047508.587     2.343    7   2.489   2.226
2015      19    5010.000   5093002.054   3672002.599   1047508.584     2.343    7   2.488   2.225
2015      19    5040.000   5093002.056   3672002.597   1047508.580     2.343    7   2.487   2.225
2015      19    5070.000   5093002.060   3672002.594   1047508.571     2.343    7   2.486   2.224
2015      19    5100.000   5093002.054   3672002.601   1047508.575     2.343    7   2.485   2.222
2015      19    5130.000   5093002.058   3672002.598   1047508.566     2.343    7   2.483   2.221
2015      19    5160.000   5093002.062   3672002.594   1047508.561     2.343    7   2.481   2.219
2015      19    5190.000   5093002.069   3672002.587   1047508.551     2.343    7   2.479   2.217
2015      19    5220.000   5093002.066   3672002.591   1047508.554     2.343    7   2.476   2.215
2015      19    5250.000   5093002.059   3672002.596   1047508.565     2.343    7   2.473   2.212
2015      19    5280.000   5093002.056   3672002.600   1047508.572     2.342    7   2.470   2.209
2015      19    5310.000   5093002.052   3672002.603   1047508.578     2.342    7   2.466   2.206
2015      19    5340.000   5093002.036   3672002.618   1047508.604     2.342    7   2.463   2.203
2015      19    5370.000   5093002.045   3672002.609   1047508.591     2.342    7   2.458   2.200
2015      19    5400.000   5093002.049   3672002.607   1047508.581     2.341    7   2.454   2.196
2015      19    5430.000   5093002.042   3672002.613   1047508.592     2.341    7   2.449   2.192
2015      19    5460.000   5093002.034   3672002.621   1047508.602     2.341    7   2.445   2.188
2015      19    5490.000   5093002.030   3672002.625   1047508.608     2.341    7   2.439   2.183
2015      19    5520.000   5093002.035   3672002.620   1047508.603     2.341    7   2.434   2.179
2015      19    5550.000   5093002.038   3672002.617   1047508.596     2.341    7   2.428   2.174
2015      19    5580.000   5093002.038   3672002.618   1047508.594     2.341    7   2.422   2.169
2015      19    5610.000   5093002.035   3672002.621   1047508.599     2.341    7   2.416   2.163
2015      19    5640.000   5093002.031   3672002.626   1047508.597     2.341    7   2.410   2.158
2015      19    5670.000   5093002.033   3672002.625   1047508.593     2.341    7   2.403   2.152
2015      19    5700.000   5093002.038   3672002.622   1047508.581     2.341    7   2.396   2.146
2015      19    5730.000   5093002.043   3672002.618   1047508.571     2.341    6   3.102   2.704
2015      19    5760.000   5093002.040   3672002.622   1047508.574     2.341    6   3.103   2.705
2015      19    5790.000   5093002.041   3672002.621   1047508.568     2.342    6   3.104   2.706
2015      19    5820.000   5093002.052   3672002.611   1047508.551     2.342    6   3.105   2.706
