% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Secondstatic
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2017      73   45434.000        -0.375        -0.217        -1.145     2.347    9   1.956   1.719
2017      73   45435.000        -0.369        -0.222        -1.179     2.341    9   1.956   1.719
2017      73   45437.000        -0.366        -0.222        -1.188     2.336    9   1.957   1.719
2017      73   45438.000        -0.360        -0.226        -1.195     2.331    9   1.957   1.720
2017      73   45439.000        -0.348        -0.223        -1.204     2.326    9   1.957   1.720
2017      73   45440.000        -0.333        -0.221        -1.215     2.321    9   1.957   1.720
2017      73   45441.000        -0.324        -0.224        -1.215     2.317    9   1.957   1.720
2017      73   45442.000        -0.320        -0.230        -1.223     2.314    9   1.958   1.720
2017      73   45443.000        -0.323        -0.232        -1.227     2.311    9   1.958   1.720
2017      73   45444.000        -0.320        -0.232        -1.232     2.308    9   1.958   1.721
2017      73   45445.000        -0.319        -0.228        -1.233     2.306    9   1.958   1.721
2017      73   45446.000        -0.317        -0.227        -1.234     2.304    9   1.959   1.721
2017      73   45447.000        -0.318        -0.228        -1.230     2.303    9   1.959   1.721
2017      73   45448.000        -0.315        -0.230        -1.231     2.300    9   1.959   1.721
2017      73   45449.000        -0.314        -0.229        -1.229     2.299    9   1.959   1.722
2017      73   45450.000        -0.314        -0.230        -1.229     2.297    9   1.960   1.722
2017      73   45451.000        -0.313        -0.231        -1.232     2.296    9   1.960   1.722
2017      73   45452.000        -0.318        -0.238        -1.226     2.296    9   1.960   1.722
2017      73   45453.000        -0.320        -0.237        -1.224     2.296    9   1.960   1.722
2017      73   45454.000        -0.328        -0.236        -1.219     2.297    9   1.960   1.723
2017      73   45455.000        -0.343        -0.235        -1.209     2.300    9   1.961   1.723
2017      73   45456.000        -0.352        -0.233        -1.196     2.302    9   1.961   1.723
2017      73   45457.000        -0.381        -0.228        -1.147     2.309    9   1.961   1.723
2017      73   45458.000        -0.407        -0.224        -1.103     2.316    9   1.961   1.723
2017      73   45459.000        -0.439        -0.222        -1.059     2.323    9   1.962   1.723
2017      73   45460.000        -0.463        -0.224        -1.021     2.330    9   1.962   1.724
2017      73   45461.000        -0.480        -0.221        -0.981     2.336    9   1.962   1.724
2017      73   45462.000        -0.500        -0.220        -0.949     2.342    9   1.962   1.724
2017      73   45463.000        -0.517        -0.220        -0.916     2.348    9   1.963   1.724
2017      73   45464.000        -0.528        -0.221        -0.887     2.353    9   1.963   1.724
2017      73   45465.000        -0.542        -0.221        -0.858     2.358    9   1.963   1.725
2017      73   45466.000        -0.556        -0.219        -0.831     2.363    9   1.963   1.725
2017      73   45467.000        -0.569        -0.218        -0.807     2.366    9   1.963   1.725
2017      73   45468.000        -0.580        -0.217        -0.783     2.370    9   1.964   1.725
2017      73   45469.000        -0.589        -0.220        -0.761     2.373    9   1.964   1.725
2017      73   45470.000        -0.594        -0.219        -0.740     2.376    9   1.964   1.726
2017      73   45471.000        -0.593        -0.221        -0.725     2.379    9   1.964   1.726
2017      73   45472.000        -0.596        -0.220        -0.709     2.382    9   1.965   1.726
2017      73   45473.000        -0.600        -0.224        -0.693     2.385    9   1.965   1.726
2017      73   45474.000        -0.601        -0.229        -0.678     2.387    9   1.965   1.726
2017      73   45475.000        -0.601        -0.229        -0.663     2.390    9   1.965   1.726
2017      73   45476.000        -0.605        -0.227        -0.647     2.392    9   1.966   1.727
2017      73   45477.000        -0.605        -0.225        -0.631     2.395    9   1.966   1.727
2017      73   45478.000        -0.613        -0.222        -0.614     2.398    9   1.966   1.727
2017      73   45479.000        -0.622        -0.218        -0.598     2.401    9   1.966   1.727
2017      73   45480.000        -0.633        -0.219        -0.579     2.404    9   1.966   1.727
2017      73   45481.000        -0.644        -0.218        -0.557     2.407    9   1.967   1.728
2017      73   45482.000        -0.653        -0.221        -0.538     2.411    9   1.967   1.728
2017      73   45483.000        -0.666        -0.223        -0.519     2.415    9   1.967   1.728
2017      73   45484.000        -0.674        -0.223        -0.501     2.419    9   1.967   1.728
2017      73   45485.000        -0.687        -0.224        -0.478     2.423    9   1.968   1.728
2017      73   45486.000        -0.698        -0.221        -0.459     2.427    9   1.968   1.729
2017      73   45487.000        -0.700        -0.216        -0.443     2.430    9   1.968   1.729
2017      73   45488.000        -0.703        -0.215        -0.423     2.434    9   1.968   1.729
2017      73   45489.000        -0.703        -0.214        -0.410     2.437    9   1.969   1.729
2017      73   45490.000        -0.705        -0.212        -0.390     2.440    9   1.969   1.729
2017      73   45491.000        -0.703        -0.207        -0.373     2.442    9   1.969   1.729
2017      73   45492.000        -0.707        -0.205        -0.360     2.445    9   1.969   1.730
2017      73   45493.000        -0.709        -0.205        -0.347     2.448    9   1.969   1.730
2017      73   45494.000        -0.716        -0.209        -0.335     2.451    9   1.970   1.730
2017      73   45495.000        -0.720        -0.211        -0.324     2.454    9   1.970   1.730
2017      73   45496.000        -0.730        -0.212        -0.309     2.457    9   1.970   1.730
2017      73   45497.000        -0.732        -0.209        -0.301     2.458    9   1.970   1.731
2017      73   45498.000        -0.734        -0.206        -0.296     2.459    9   1.971   1.731
2017      73   45499.000        -0.738        -0.206        -0.289     2.461    9   1.971   1.731
2017      73   45500.000        -0.747        -0.206        -0.284     2.463    9   1.971   1.731
2017      73   45501.000        -0.746        -0.205        -0.277     2.465    9   1.971   1.731
